scientific.name,Temp,W,Pcrit,AphiaID,lowest.taxon,Source,Method,RespSetup,O2Control,EstMethod_Metric,Notes,SharedAuthor,Location
challengerosergia fulgens,10,1.06,5.306666667,1056490,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
challengerosergia fulgens,20,1.06,11.6,1056490,species,Cowles et al. (1991),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Shipboard
panulirus cygnus,15,1000,4.946666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
panulirus cygnus,23,1000,6.666666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
panulirus cygnus,31,1000,10.66666667,382893,species,Crear and Forteath (2001),OxygenConsumption,intermittent,drawdown,oxyconform,lobsters obtained from commercial holding facilitites,Crear,Lab
systellaspis debilis,7,1.118,3.333333333,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,14,1.118,4,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,20,1.118,4.933333333,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,5,1.22,3.226666667,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,10,1.22,4.666666667,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
systellaspis debilis,20,1.22,5.8,107605,species,Davenport & Trueman (1985),OxygenConsumption,closed,drawdown,oxyconform,Time since capture not reported,Davenport,Shipboard
funchalia villosa,7,2.08,3,107100,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
funchalia villosa,20,2.08,4.333333333,107100,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
gennadas valens,14,0.534,3.666666667,107098,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
gennadas valens,20,0.534,4.333333333,107098,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
oplophorus gracilirostris,5,2.58,4.666666667,212900,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
oplophorus gracilirostris,10,2.58,5.4,212900,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
oplophorus gracilirostris,20,2.58,6.36,212900,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
phorcosergia grandis,14,0.713,4.4,1056510,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
phorcosergia grandis,20,0.713,6.266666667,1056510,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
acanthephyra purpurea,7,1.391,3.733333333,107582,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
acanthephyra purpurea,14,1.391,4.266666667,107582,species,Donnely and Torres (1988),OxygenConsumption,closed,drawdown,oxyconform,"Tested ""immediately"" when possible",Torres,Shipboard
pandalus borealis,5,3.3,1.905453,107649,species,Dupont-Prinet et al. 2013,OxygenConsumption,intermittent,drawdown,oxyconform,Held for several months,Dupoint-Prinet,Lab
pandalus borealis,8,3.3,2.9216946,107649,species,Dupont-Prinet et al. 2013,OxygenConsumption,intermittent,drawdown,oxyconform,Held for several months,Dupoint-Prinet,Lab
pandalus borealis,5,11.31,3.2816135,107649,species,Dupont-Prinet et al. 2013,OxygenConsumption,intermittent,drawdown,oxyconform,Held for several months,Dupoint-Prinet,Lab
pandalus borealis,8,11.31,4.7001174,107649,species,Dupont-Prinet et al. 2013,OxygenConsumption,intermittent,drawdown,oxyconform,Held for several months,Dupoint-Prinet,Lab
sciaenops ocellatus,24,35.7,4.2,159335,species,Ern et al. (2016),OxygenConsumption,intermittent,drawdown,oxyconform,"Reared fish.  Noted increased activity at low DO, which means Pcrit is probably associated with RMR",Ern,Lab
sciaenops ocellatus,30,40,5.053333333,159335,species,Ern et al. (2016),OxygenConsumption,intermittent,drawdown,oxyconform,"Reared fish.  Noted increased activity at low DO, which means Pcrit is probably associated with RMR",Ern,Lab
styela plicata,10,20,18.32,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,12.5,20,16.76,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,15,20,16.02666667,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,19.5,20,14.37333333,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,26.5,20,12.89333333,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,28.6,20,13.32,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
styela plicata,32,20,9.413333333,103936,species,Fisher (1976),OxygenConsumption,closed,drawdown,oxyconform,"captured and acclimated at least 5 days, no more than 1 month",Fisher,Lab
chromis atripectoralis,29.02286725,3.7,3.283638123,212812,species,Ern et al. (2017),OxygenConsumption,intermittent,drawdown,SMR,Captured and acclimated for 4 days in lab,Ern,Lab
chromis atripectoralis,31.01403813,3.9,4.336089934,212812,species,Ern et al. (2017),OxygenConsumption,intermittent,drawdown,SMR,Captured and acclimated for 4 days in lab,Ern,Lab
chromis atripectoralis,33.02609422,3.7,4.604678402,212812,species,Ern et al. (2017),OxygenConsumption,intermittent,drawdown,SMR,Captured and acclimated for 4 days in lab,Ern,Lab
chromis atripectoralis,35.02070502,2.5,4.89696721,212812,species,Ern et al. (2017),OxygenConsumption,intermittent,drawdown,SMR,Captured and acclimated for 4 days in lab,Ern,Lab
magallana gigas,15,1.55,7.6641554,836033,species,Gerdes (1983),unknown,,,unknown,,Gerdes,
magallana gigas,20,1.55,9.0826593,836033,species,Gerdes (1983),unknown,,,unknown,,Gerdes,
magallana gigas,25,1.55,10.2047594,836033,species,Gerdes (1983),unknown,,,unknown,,Gerdes,
bellapiscis lesleyae,15,0.54,5.613597931,279887,species,Hilton et al. (2008),Escapebehavior,closed,drawdown,Escape,,Hilton,
bellapiscis lesleyae,25,0.59,11.44676051,279887,species,Hilton et al. (2008),Escapebehavior,closed,drawdown,Escape,,Hilton,
bellapiscis medius,15,2.37,2.319007692,279888,species,Hilton et al. (2008),Escapebehavior,closed,drawdown,Escape,,Hilton,
bellapiscis medius,25,2.84,5.530439335,279888,species,Hilton et al. (2008),Escapebehavior,closed,drawdown,Escape,,Hilton,
menidia menidia,25,5.01,3.287501567,159228,species,Hoff (1967),Lethal,362minute,,Death,,Hoff,
menidia menidia,18.5,4.98,2.106323497,159228,species,Hoff (1967),Lethal,630minute,,Death,,Hoff,
menidia menidia,12,4.19,1.516393635,159228,species,Hoff (1967),Lethal,1327minute,,Death,,Hoff,
pseudopleuronectes americanus,25,1.95,2.645411417,158885,species,Hoff (1967),Lethal,428minute,,Death,,Hoff,
pseudopleuronectes americanus,18.5,1.8,1.970431658,158885,species,Hoff (1967),Lethal,763minute,,Death,,Hoff,
pseudopleuronectes americanus,12,2.45,1.299765973,158885,species,Hoff (1967),Lethal,1732minute,,Death,,Hoff,
sphoeroides maculatus,25,2.1,3.492970415,158934,species,Hoff (1967),Lethal,519minute,,Death,,Hoff,
sphoeroides maculatus,18.5,3,2.083674857,158934,species,Hoff (1967),Lethal,975minute,,Death,,Hoff,
sphoeroides maculatus,12,3.3,1.378539668,158934,species,Hoff (1967),Lethal,1880minute,,Death,,Hoff,
cyclopterus lumpus,10,23,7.253333333,127214,species,Ern et al. (2016),OxygenConsumption,intermittent,drawdown,oxyconform,captured animalsacclimated for two weeks.  Noted that spontaneous movement in low O2 water means that threshold was more likely RMR,Ern,Lab
cyclopterus lumpus,16,22.5,8.506666667,127214,species,Ern et al. (2016),OxygenConsumption,intermittent,drawdown,oxyconform,captured animalsacclimated for two weeks.  Noted that spontaneous movement in low O2 water means that threshold was more likely RMR,Ern,Lab
gibberulus gibbosus,28,0.98,5.3,564630,species,Lefevre et al. (2015),OxygenConsumption,closed,drawdown,oxyconform,capured animals held for unknown period of time,Lefevre,Lab
gibberulus gibbosus,33,0.98,5.3,564630,species,Lefevre et al. (2015),OxygenConsumption,closed,drawdown,oxyconform,capured animals held for unknown period of time,Lefevre,Lab
ophioderma cinereum,29,5,6.261902823,245142,species,Lucey et al. (2023),OxygenConsumption,closed,controlled,oxyconform,capured animals held for unknown period of time,Lucey,Lab
ophioderma cinereum,32,5,7.859765371,245142,species,Lucey et al. (2023),OxygenConsumption,closed,controlled,oxyconform,capured animals held for unknown period of time,Lucey,Lab
ophiomastix wendtii,29,10,6.364556968,1307747,species,Lucey et al. (2023),OxygenConsumption,closed,controlled,oxyconform,capured animals held for unknown period of time,Lucey,Lab
ophiomastix wendtii,32,10,4.737392826,1307747,species,Lucey et al. (2023),OxygenConsumption,closed,controlled,oxyconform,capured animals held for unknown period of time,Lucey,Lab
micropogonias undulatus,10,306,5.77,151158,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
micropogonias undulatus,15,254,5.13,151158,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
micropogonias undulatus,20,218,3.68,151158,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
micropogonias undulatus,25,221,5.6,151158,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
micropogonias undulatus,30,254,6.13,151158,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
leiostomus xanthurus,10,142.6,5.77,159322,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
leiostomus xanthurus,15,208,4.87,159322,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
leiostomus xanthurus,20,214,4.82,159322,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
