scientific.name,Temp,W,Pcrit,AphiaID,lowest.taxon,Source,Method,RespSetup,O2Control,EstMethod_Metric,Notes,SharedAuthor,Location
Tubifex tubifex,27,0.049,3.642561467,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
Nematostella vectensis,12,0.02686,2.923350465,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Nematostella vectensis,16,0.031211111,3.117044034,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Nematostella vectensis,20,0.072211053,2.335046534,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Nematostella vectensis,24,0.058493333,4.446395333,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Nematostella vectensis,27,0.049292308,4.996749549,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Nematostella vectensis,31,0.054657143,6.373274066,100906,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Endress,Lab
Doryteuthis opalescens,7.5,41.4,3.7042367,574540,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 12 hours,Endress,Lab
Doryteuthis opalescens,10,41.4,3.775468815,574540,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 12 hours,Endress,Lab
Doryteuthis opalescens,13,41.4,2.956355049,574540,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 12 hours,Endress,Lab
Doryteuthis opalescens,16,41.4,3.751409918,574540,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 12 hours,Endress,Lab
Doryteuthis opalescens,19,41.4,4.81544659,574540,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 12 hours,Endress,Lab
gadus morhua,10,1400,4.25,126436,species,Claireaux et al. (2000),OxygenConsumption,intermittent,controlled,SMR,"captured, kept in lab > 1 year",Claireaux,Lab
gadus morhua,5,1400,3.41,126436,species,Claireaux et al. (2000),OxygenConsumption,intermittent,controlled,SMR,"captured, kept in lab > 1 year",Claireaux,Lab
gadus morhua,2,1400,3.55,126436,species,Claireaux et al. (2000),OxygenConsumption,intermittent,controlled,SMR,"captured, kept in lab > 1 year",Claireaux,Lab
Oligocottus maculosus,12,4.5,3.459842796,281872,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Clinocottus globiceps,12,1.59,3.583688168,280221,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Oligocottus snyderi,12,2.54,3.628313132,281875,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Enophrys bison,12,10.91,4.225094632,275355,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Artedius fenestralis,12,16.91,4.775472142,268390,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Artedius lateralis,12,15.16,4.744435117,279702,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Leptocottus armatus,12,48.22,5.021761993,254345,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Scorpaenichthys marmoratus,12,20.84,5.371572045,282726,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Blepsias cirrhosus,12,2.63,5.934061566,279417,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Myoxocephalus scorpius,12,9.73,6.983907741,127203,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
Artedius harringtoni,12,4.1,6.481221454,279701,species,Mandic et al. (2009),OxygenConsumption,closed,drawdown,oxyconform,captured,Richards,
