"Species","logV","logVSE","Eo","EoSE","n","nSE","V","Vind","Eoind","nind"
"Carcinus maenas",1.29952159102991,0.217889761895258,0.415626074733595,0.130597338538773,-0.0692810894239742,0.0802178730649408,3.66754166301796,4.13750143273507,0.483510746734469,NA
"Centropristis striata",1.28704804423175,0.230583173128984,0.295983096000847,0.112483018476538,-0.0606031095602019,0.0715638173071237,3.62207854309043,3.24935838575446,0.264173897719711,NA
"Challengerosergia fulgens",1.58904097311645,0.216952445103328,0.419713776313735,0.125990416209374,-0.0279130477911078,0.105630340002701,4.89904835562223,8.24218766117568,0.561824923613979,NA
"Chromis atripectoralis",1.20597971094167,0.254556348124225,0.366298461168178,0.11717772271615,-0.11527531499541,0.0791142188600054,3.34002973933562,1.27611010086343,0.546316441849489,NA
"Cyclopterus lumpus",1.42058439330001,0.235904412390078,0.299964788550755,0.188829478029685,-0.103245254489382,0.0872279226230564,4.13953885230108,NA,NA,NA
"Dentex dentex",1.35398555068622,0.223139374426388,0.183978419477582,0.111597517254463,-0.102746829235636,0.0614961158745944,3.87283017326839,4.31615537205631,0.137456791867494,NA
"Diplodus puntazzo",1.34912774735118,0.2198822255107,0.225447101130142,0.103779527988706,-0.0955058135072969,0.0554137235649,3.85406234804591,4.14594922593096,0.225327938552494,NA
"Doryteuthis (Amerigo) pealeii",1.30641082196328,0.226292764398887,0.333600226603175,0.191491912444528,-0.0791832394088146,0.0723643951880491,3.69289543822119,NA,NA,NA
"Dosidicus gigas",1.21809628125939,0.28221755431966,0.473709447038381,0.168590384118407,-0.00681405597637098,0.063083392734341,3.38074561479164,NA,NA,NA
"Funchalia villosa",1.14437613586129,0.209008639261265,0.241091567934201,0.137691830142772,-0.0851054606464567,0.0819715830206849,3.14048151177074,NA,NA,NA
"Gadus macrocephalus",1.51567366401655,0.280501260827169,0.308312454062609,0.190806720317542,-0.146752538281097,0.0833337567654953,4.55248694070324,NA,NA,NA
"Gadus morhua",1.41386895819006,0.243940140028374,0.59114311290333,0.0963341541287873,-0.0886711107512631,0.0723872643212043,4.1118331796969,3.80148278129912,0.640412878961272,NA
"Gammarus pseudolimnaeus",1.53866235313435,0.398251649460908,0.644985533183893,0.0836864092672942,-0.199786190016244,0.0590909614491476,4.65835486774616,11.1913718748155,0.71921504523423,NA
"Gaussia princeps",1.24361087542831,0.24540138892814,0.291559127404347,0.204113354302807,-0.156796368496269,0.0747953687174648,3.46811380952413,2.62353494415913,-0.139431875193668,NA
"Gennadas spc",1.06476223781323,0.289984035840779,0.324558875674571,0.197719909531913,-0.141453807142989,0.101724329606348,2.90014935622629,NA,NA,NA
"Gennadas valens",1.18159201818643,0.228078980307439,0.322130186130975,0.176350273195325,-0.107402713291799,0.0798612022039035,3.25955935213693,NA,NA,NA
"Gibberulus gibbosus",1.32033535193548,0.237590439150964,0.270427102162502,0.161740432472533,-0.0962485544380999,0.08477994818582,3.7446769513829,NA,NA,NA
"Gobiodon erythrospilus",1.30856273223168,0.238595796445194,0.364265502741336,0.155113279125682,-0.0855376011986649,0.0844566124623217,3.70085077434966,1.72123130496782,0.669937377574878,NA
"Gobiodon histrio",1.29523737573991,0.238959926110737,0.343012965722116,0.155320878469513,-0.0898445613864872,0.0848568239793603,3.65186273488194,0.921484471788501,0.926572196217587,NA
"Lucicutia hulsemannae",1.32438712642956,0.240024489068773,0.213760496754246,0.206005622263334,-0.1127763053411,0.0636297792707844,3.7598803174492,NA,NA,NA
"Magallana gigas",1.44451083337899,0.250333106250191,0.330145099570902,0.167114411054954,-0.0743414755316934,0.0911259233039067,4.23977767776179,8.42797927486873,0.212160760991162,NA
"Maja brachydactyla",1.31429411273849,0.217193978348992,0.338609484284711,0.128209576715227,-0.0779177080200435,0.061515432904163,3.72212265873868,4.35484657406885,0.327937682176336,NA
"Megacalanus spc",1.39924577633724,0.240714617265509,0.197211517872931,0.19520686851197,-0.0601279322259708,0.0789310845096917,4.05214259218955,NA,NA,NA
"Melanostigma pammelas",1.28403134792746,0.243048050650247,0.604386454347883,0.164768897679915,-0.0540715762552004,0.0870577352306175,3.61116829685942,5.31422293142884,1.06120213718909,NA
"Menidia menidia",1.28472164108268,0.201880809614356,0.371949270849395,0.147203322181409,-0.0825055457636486,0.0873637746658541,3.61366192218432,1.8002197523445,0.427149376179206,NA
"Morone saxatilis",1.28960941468949,0.234268681656634,0.26677369462868,0.17825454082695,-0.0691094352576413,0.0700152635890373,3.63136791975513,NA,NA,NA
"Mytilus spc",1.44326329181407,0.226091925010126,0.244814907483999,0.136646234045304,-0.0779525340361833,0.0899824907568887,4.23449167682128,NA,NA,NA
"Nautilus pompilius",1.28380266409359,0.234015813970073,0.433215351226434,0.166427034418053,-0.0628488552072187,0.0748088504914412,3.61034257546671,3.12299810296943,0.586125571153288,NA
"Nematobrachion flexipes",1.31188189977412,0.238884090405857,0.45255917083194,0.164048528713258,-0.0639500502976107,0.066694032772934,3.71315492659457,NA,NA,NA
"Notostomus elegans",1.11275549186554,0.219304640289174,0.360062525871976,0.163592422566784,-0.0184808609972453,0.0821846936960575,3.04273107443686,NA,NA,NA
"Notostomus gibbosus",1.13070023475594,0.210343842010471,0.369295889638247,0.162515580147567,-0.0257336990742531,0.0861712558862387,3.09782494552038,NA,NA,NA
"Octopus vulgaris",1.34950594861523,0.227980584174176,0.278518601383671,0.109137117957016,-0.0509187723428483,0.054539737758202,3.85552023496765,4.55722645718594,0.2476791943728,NA
"Oncorhynchus mykiss",1.2936814827267,0.231153545265449,0.310308955420411,0.146389083988838,-0.0690385955210526,0.0675925239224438,3.64618524509623,2.23776101559505,0.201552465117187,NA
"Ophioderma cinereum",1.33067004680705,0.234001628085628,0.344135052847662,0.160055928194083,-0.0862099864511749,0.0878588130926291,3.78357771258132,NA,NA,NA
"Ophiomastix wendtii",1.29902386557014,0.236817707703854,0.22376478931712,0.164423469295525,-0.0950434592826329,0.0905087569613794,3.66571668836336,NA,NA,NA
"Oplophorus gracilirostris",1.44347679137351,0.17857318095916,0.198469554177526,0.115883831665077,-0.0780858006310735,0.0906584641771232,4.23539583544405,6.13076491043655,0.141353246369833,NA
"Oplophorus spinosus",1.34666252216347,0.180726036121923,0.279998071666929,0.114497365059545,-0.0723601991631571,0.0835276853695615,3.84457291806728,5.0707461403302,0.294287556102573,NA
"Panulirus interruptus",1.27478279126491,0.234560592366426,0.067478503198516,0.113190322007664,-0.101078122815849,0.0848624851453139,3.57792416930984,3.24958887491899,-0.0868524788300754,NA
"Pandalus borealis",1.35838945502117,0.219792464580585,0.300818057215619,0.168914485329416,-0.126876785088248,0.0813016518836429,3.88992335760532,NA,NA,NA
"Pandalus platyceros",1.37935916841288,0.221731100433093,0.25400657177618,0.16993335982461,-0.124064414634085,0.08164471793169,3.97235520097856,NA,NA,NA
"Panulirus cygnus",1.26913730875033,0.218354830120286,0.264903053430385,0.136421622032509,-0.0788223279329597,0.0664749847738298,3.55778197068531,3.15788563190471,0.361886492543976,NA
"Paralichthys dentatus",1.27528473587568,0.236634840961172,0.319801337676368,0.178023538505259,-0.0693708209506613,0.0753854326079269,3.57972053986588,NA,NA,NA
"Pecten maximus",1.30201409994595,0.209947259669538,0.322120645125184,0.134603434394017,-0.092811756276609,0.083238382263563,3.67669444527012,5.49114672351294,0.326276040969196,NA
"Penaeus vannamei",1.12326826066555,0.252468813392133,0.198866004987208,0.145795873080949,-0.0842081738268354,0.0714954262570023,3.07488733224084,1.35838025736227,0.269442330004122,NA
