,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
84,Gadiformes,1.192674888,0.4568786,0.443743252,1.933568926,-0.060056304,0.056901538,-0.150848882,0.032082098,0.190458779,0.191777842,-0.124754134,0.496948974,2,Order
85,Gadidae,1.497276073,0.361642207,0.896905462,2.093313643,-0.052507726,0.057399668,-0.145150335,0.041125594,0.140832152,0.148177186,-0.098689306,0.389860021,2,Family
86,Gobiiformes,1.053474544,0.453605996,0.274245941,1.759194945,-0.069828278,0.058666386,-0.159811769,0.032023728,0.220651283,0.190701328,-0.101499673,0.524311276,13,Order
87,Gobiidae,0.808910091,0.318948282,0.303529266,1.374192932,-0.090135472,0.051773329,-0.176897258,-0.008083497,0.281283823,0.149109702,0.043737118,0.523886328,13,Family
88,Kurtiformes,1.0733295,0.428422138,0.377325707,1.767119782,-0.062301009,0.054618742,-0.149122129,0.026990439,0.203901103,0.180156117,-0.084401817,0.492037005,9,Order
89,Apogonidae,0.969038647,0.400058372,0.331014403,1.630291058,-0.0637308,0.064837254,-0.163553105,0.050149869,0.191607143,0.190889895,-0.114123436,0.4991401,9,Family
90,Myctophiformes,1.092141954,0.449366354,0.331702812,1.811948364,-0.063187981,0.056779455,-0.157889921,0.026836962,0.210699388,0.188791627,-0.09650938,0.518091118,2,Order
91,Myctophidae,1.050936414,0.320234047,0.499853169,1.562716979,-0.06780503,0.062904742,-0.171255231,0.030823528,0.253120466,0.149402843,0.005644611,0.497395924,2,Family
92,Ovalentaria,1.104852636,0.435858633,0.372539127,1.819130814,-0.041239824,0.05668107,-0.135041626,0.050156439,0.193705034,0.182953145,-0.111167567,0.480337577,17,Order
93,Embiotocidae,0.972338972,0.385454488,0.35370145,1.621330216,-0.037070792,0.067624412,-0.144221581,0.076504228,0.226047871,0.173427371,-0.044219386,0.519380146,1,Family
